[00:00:23] [Server thread/INFO]: Singularity7k issued server command: /locate
[00:02:50] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #better_pyramid:ancient_city
[00:02:51] [Server thread/INFO]: Locating element #better_pyramid:ancient_city (minecraft:ancient_city) took 1232 ms
[00:02:57] [Server thread/INFO]: Singularity7k issued server command: /tp @s 2048 ~ -1728
[00:02:58] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -117], discarding
[00:03:03] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -117], discarding
[00:03:03] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -118], discarding
[00:03:03] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -119], discarding
[00:03:03] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -120], discarding
[00:03:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -121], discarding
[00:03:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -121], discarding
[00:03:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -117], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -122], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -122], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -122], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -123], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -124], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -124], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -124], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -124], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -124], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -118], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -119], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -117], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -118], discarding
[00:03:05] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -117], discarding
[00:03:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -122], discarding
[00:03:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -120], discarding
[00:03:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -121], discarding
[00:03:11] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -122], discarding
[00:03:11] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -122], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -123], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -123], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -123], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -124], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -125], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -125], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -125], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -125], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -125], discarding
[00:03:12] [Paper Common Worker #0/ERROR]: Unknown structure start: towns_and_towers:village_forest
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -125], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -119], discarding
[00:03:12] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -120], discarding
[00:03:13] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -118], discarding
[00:03:13] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -119], discarding
[00:03:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -121], discarding
[00:03:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -123], discarding
[00:03:17] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -122], discarding
[00:03:18] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -123], discarding
[00:03:18] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -124], discarding
[00:03:18] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -124], discarding
[00:03:18] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -120], discarding
[00:03:19] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -124], discarding
[00:03:19] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -121], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -125], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -126], discarding
[00:03:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -123], discarding
[00:03:21] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -122], discarding
[00:03:21] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -124], discarding
[00:03:23] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:03:24] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -124], discarding
[00:03:24] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -125], discarding
[00:03:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -123], discarding
[00:03:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -125], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -125], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -127], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -127], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -127], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -127], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -127], discarding
[00:03:26] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -127], discarding
[00:03:27] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -126], discarding
[00:03:27] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -127], discarding
[00:03:27] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -124], discarding
[00:03:27] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -127], discarding
[00:03:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -125], discarding
[00:03:32] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -126], discarding
[00:03:32] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -126], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -128], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -128], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -128], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -128], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -128], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -128], discarding
[00:03:33] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -128], discarding
[00:03:34] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -128], discarding
[00:03:34] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -127], discarding
[00:03:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -125], discarding
[00:03:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -127], discarding
[00:03:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -128], discarding
[00:03:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -126], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -129], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -129], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -129], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -129], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -129], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -129], discarding
[00:03:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -129], discarding
[00:03:39] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -129], discarding
[00:03:39] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -127], discarding
[00:03:40] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -126], discarding
[00:03:40] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -128], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -129], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -130], discarding
[00:03:43] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -128], discarding
[00:03:47] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -129], discarding
[00:03:47] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -130], discarding
[00:03:47] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -129], discarding
[00:03:47] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -130], discarding
[00:03:56] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:03:56] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:03:56] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:03:58] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:03:58] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:03:58] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:01] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:01] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:01] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [104, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [104, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [104, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:02] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -130], discarding
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:03] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:19] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:04:33] [Server thread/INFO]: Singularity7k has completed the challenge [It Spreads]
[00:04:56] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:04:56] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
